# curie_map:
#   nist-csf-2: "https://crosswalker.dev/ontology/nist-csf-2/"
#   nist-800-53: "https://crosswalker.dev/ontology/nist-800-53/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   semapv: "https://w3id.org/semapv/vocab/"
# mapping_set_id: "https://crosswalker.dev/crosswalks/nist-csf-2-to-nist-800-53"
# subject_source: "nist-csf-2"
# object_source: "nist-800-53"
# mapping_provider: "NIST OLIR"
# mapping_date: "2026-05-04"
subject_id	predicate_id	object_id	mapping_justification	confidence
nist-csf-2:GV.RM-06	skos:relatedMatch	nist-800-53:PM-9	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-06	skos:relatedMatch	nist-800-53:PM-18	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-06	skos:relatedMatch	nist-800-53:PM-28	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-06	skos:relatedMatch	nist-800-53:PM-30	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-06	skos:relatedMatch	nist-800-53:RA-3	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-07	skos:relatedMatch	nist-800-53:PM-9	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-07	skos:relatedMatch	nist-800-53:PM-18	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-07	skos:relatedMatch	nist-800-53:PM-28	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-07	skos:relatedMatch	nist-800-53:PM-30	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-07	skos:relatedMatch	nist-800-53:RA-3	semapv:ManualMappingCuration	
nist-csf-2:GV.RR-01	skos:relatedMatch	nist-800-53:PM-2	semapv:ManualMappingCuration	
nist-csf-2:GV.RR-01	skos:relatedMatch	nist-800-53:PM-19	semapv:ManualMappingCuration	
nist-csf-2:GV.RR-01	skos:relatedMatch	nist-800-53:PM-23	semapv:ManualMappingCuration	
nist-csf-2:GV.RR-01	skos:relatedMatch	nist-800-53:PM-24	semapv:ManualMappingCuration	
nist-csf-2:GV.RR-01	skos:relatedMatch	nist-800-53:PM-29	semapv:ManualMappingCuration	
nist-csf-2:GV.RR-02	skos:relatedMatch	nist-800-53:PM-2	semapv:ManualMappingCuration	
nist-csf-2:GV.RR-02	skos:relatedMatch	nist-800-53:PM-13	semapv:ManualMappingCuration	
nist-csf-2:GV.RR-02	skos:relatedMatch	nist-800-53:PM-19	semapv:ManualMappingCuration	
nist-csf-2:GV.RR-02	skos:relatedMatch	nist-800-53:PM-23	semapv:ManualMappingCuration	
nist-csf-2:GV.RR-02	skos:relatedMatch	nist-800-53:PM-24	semapv:ManualMappingCuration	
nist-csf-2:GV.RR-02	skos:relatedMatch	nist-800-53:PM-29	semapv:ManualMappingCuration	
nist-csf-2:GV.RR-03	skos:relatedMatch	nist-800-53:PM-3	semapv:ManualMappingCuration	
nist-csf-2:GV.RR-04	skos:relatedMatch	nist-800-53:PM-13	semapv:ManualMappingCuration	
nist-csf-2:GV.RR-04	skos:relatedMatch	nist-800-53:PS-1	semapv:ManualMappingCuration	
nist-csf-2:GV.RR-04	skos:relatedMatch	nist-800-53:PS-7	semapv:ManualMappingCuration	
nist-csf-2:GV.RR-04	skos:relatedMatch	nist-800-53:PS-9	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-01	skos:relatedMatch	nist-800-53:AC-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-01	skos:relatedMatch	nist-800-53:AT-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-01	skos:relatedMatch	nist-800-53:AU-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-01	skos:relatedMatch	nist-800-53:CA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-01	skos:relatedMatch	nist-800-53:CM-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-01	skos:relatedMatch	nist-800-53:CP-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-01	skos:relatedMatch	nist-800-53:IA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-01	skos:relatedMatch	nist-800-53:IR-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-01	skos:relatedMatch	nist-800-53:MA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-01	skos:relatedMatch	nist-800-53:MP-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-01	skos:relatedMatch	nist-800-53:PE-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-01	skos:relatedMatch	nist-800-53:PL-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-01	skos:relatedMatch	nist-800-53:PM-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-01	skos:relatedMatch	nist-800-53:PS-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-01	skos:relatedMatch	nist-800-53:PT-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-01	skos:relatedMatch	nist-800-53:RA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-01	skos:relatedMatch	nist-800-53:SA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-01	skos:relatedMatch	nist-800-53:SC-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-01	skos:relatedMatch	nist-800-53:SI-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-01	skos:relatedMatch	nist-800-53:SR-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-02	skos:relatedMatch	nist-800-53:AC-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-02	skos:relatedMatch	nist-800-53:AT-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-02	skos:relatedMatch	nist-800-53:AU-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-02	skos:relatedMatch	nist-800-53:CA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-02	skos:relatedMatch	nist-800-53:CM-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-02	skos:relatedMatch	nist-800-53:CP-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-02	skos:relatedMatch	nist-800-53:IA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-02	skos:relatedMatch	nist-800-53:IR-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-02	skos:relatedMatch	nist-800-53:MA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-02	skos:relatedMatch	nist-800-53:MP-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-02	skos:relatedMatch	nist-800-53:PE-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-02	skos:relatedMatch	nist-800-53:PL-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-02	skos:relatedMatch	nist-800-53:PM-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-02	skos:relatedMatch	nist-800-53:PS-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-02	skos:relatedMatch	nist-800-53:PT-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-02	skos:relatedMatch	nist-800-53:RA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-02	skos:relatedMatch	nist-800-53:SA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-02	skos:relatedMatch	nist-800-53:SC-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-02	skos:relatedMatch	nist-800-53:SI-1	semapv:ManualMappingCuration	
nist-csf-2:GV.PO-02	skos:relatedMatch	nist-800-53:SR-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:AC-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:AT-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:AU-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:CA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:CM-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:CP-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:IA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:IR-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:MA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:MP-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:PE-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:PL-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:PM-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:PS-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:PT-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:RA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:SA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:SC-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:SI-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:SR-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:PM-9	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:PM-18	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:PM-30	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:PM-31	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:RA-7	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-01	skos:relatedMatch	nist-800-53:SR-6	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-02	skos:relatedMatch	nist-800-53:PM-9	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-02	skos:relatedMatch	nist-800-53:PM-19	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-02	skos:relatedMatch	nist-800-53:PM-30	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-02	skos:relatedMatch	nist-800-53:PM-31	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-02	skos:relatedMatch	nist-800-53:RA-7	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-02	skos:relatedMatch	nist-800-53:SR-6	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-03	skos:relatedMatch	nist-800-53:PM-4	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-03	skos:relatedMatch	nist-800-53:PM-6	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-03	skos:relatedMatch	nist-800-53:RA-7	semapv:ManualMappingCuration	
nist-csf-2:GV.OV-03	skos:relatedMatch	nist-800-53:SR-6	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-01	skos:relatedMatch	nist-800-53:PM-30	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-01	skos:relatedMatch	nist-800-53:SR-2	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-01	skos:relatedMatch	nist-800-53:SR-3	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-02	skos:relatedMatch	nist-800-53:SR-2	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-02	skos:relatedMatch	nist-800-53:SR-3	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-02	skos:relatedMatch	nist-800-53:SR-5	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:AC-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:AT-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:AU-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:CA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:CM-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:CP-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:IA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:IR-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:MA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:MP-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:PE-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:PL-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:PM-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:PS-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:PT-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:RA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:SA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:SC-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:SI-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:SR-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:PM-9	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:PM-18	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:PM-30	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:PM-31	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:SR-2	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:SR-3	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:RA-3	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-03	skos:relatedMatch	nist-800-53:RA-7	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-04	skos:relatedMatch	nist-800-53:RA-9	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-04	skos:relatedMatch	nist-800-53:SA-9	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-04	skos:relatedMatch	nist-800-53:SR-6	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-05	skos:relatedMatch	nist-800-53:SA-4	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-05	skos:relatedMatch	nist-800-53:SA-9	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-05	skos:relatedMatch	nist-800-53:SR-3	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-05	skos:relatedMatch	nist-800-53:SR-5	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-05	skos:relatedMatch	nist-800-53:SR-6	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-05	skos:relatedMatch	nist-800-53:SR-10	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-06	skos:relatedMatch	nist-800-53:SA-4	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-06	skos:relatedMatch	nist-800-53:SA-9	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-06	skos:relatedMatch	nist-800-53:SR-5	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-06	skos:relatedMatch	nist-800-53:SR-6	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-07	skos:relatedMatch	nist-800-53:RA-9	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-07	skos:relatedMatch	nist-800-53:SA-4	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-07	skos:relatedMatch	nist-800-53:SA-9	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-07	skos:relatedMatch	nist-800-53:SR-3	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-07	skos:relatedMatch	nist-800-53:SR-6	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-08	skos:relatedMatch	nist-800-53:SA-4	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-08	skos:relatedMatch	nist-800-53:SA-9	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-08	skos:relatedMatch	nist-800-53:SR-2	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-08	skos:relatedMatch	nist-800-53:SR-3	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-08	skos:relatedMatch	nist-800-53:SR-8	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-08	skos:relatedMatch	nist-800-53:CP-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-08	skos:relatedMatch	nist-800-53:IR-1	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-09	skos:relatedMatch	nist-800-53:PM-9	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-09	skos:relatedMatch	nist-800-53:PM-19	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-09	skos:relatedMatch	nist-800-53:PM-28	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-09	skos:relatedMatch	nist-800-53:PM-30	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-09	skos:relatedMatch	nist-800-53:PM-31	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-09	skos:relatedMatch	nist-800-53:RA-3	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-09	skos:relatedMatch	nist-800-53:RA-7	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-09	skos:relatedMatch	nist-800-53:SA-4	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-09	skos:relatedMatch	nist-800-53:SA-9	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-09	skos:relatedMatch	nist-800-53:SR-2	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-09	skos:relatedMatch	nist-800-53:SR-3	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-09	skos:relatedMatch	nist-800-53:SR-5	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-09	skos:relatedMatch	nist-800-53:SR-6	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-10	skos:relatedMatch	nist-800-53:PM-31	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-10	skos:relatedMatch	nist-800-53:RA-3	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-10	skos:relatedMatch	nist-800-53:RA-5	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-10	skos:relatedMatch	nist-800-53:RA-7	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-10	skos:relatedMatch	nist-800-53:SA-4	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-10	skos:relatedMatch	nist-800-53:SA-9	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-10	skos:relatedMatch	nist-800-53:SR-2	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-10	skos:relatedMatch	nist-800-53:SR-3	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-10	skos:relatedMatch	nist-800-53:SR-5	semapv:ManualMappingCuration	
nist-csf-2:GV.SC-10	skos:relatedMatch	nist-800-53:SR-6	semapv:ManualMappingCuration	
nist-csf-2:ID.AM-01	skos:relatedMatch	nist-800-53:CM-8	semapv:ManualMappingCuration	
nist-csf-2:ID.AM-01	skos:relatedMatch	nist-800-53:PM-5	semapv:ManualMappingCuration	
nist-csf-2:ID.AM-02	skos:relatedMatch	nist-800-53:AC-20	semapv:ManualMappingCuration	
nist-csf-2:ID.AM-02	skos:relatedMatch	nist-800-53:CM-8	semapv:ManualMappingCuration	
nist-csf-2:ID.AM-02	skos:relatedMatch	nist-800-53:PM-5	semapv:ManualMappingCuration	
nist-csf-2:ID.AM-02	skos:relatedMatch	nist-800-53:SA-5	semapv:ManualMappingCuration	
nist-csf-2:ID.AM-02	skos:relatedMatch	nist-800-53:SA-9	semapv:ManualMappingCuration	
nist-csf-2:ID.AM-03	skos:relatedMatch	nist-800-53:AC-4	semapv:ManualMappingCuration	
nist-csf-2:ID.AM-03	skos:relatedMatch	nist-800-53:CA-3	semapv:ManualMappingCuration	
nist-csf-2:ID.AM-03	skos:relatedMatch	nist-800-53:CA-9	semapv:ManualMappingCuration	
nist-csf-2:ID.AM-03	skos:relatedMatch	nist-800-53:PL-2	semapv:ManualMappingCuration	
nist-csf-2:ID.AM-03	skos:relatedMatch	nist-800-53:PL-8	semapv:ManualMappingCuration	
nist-csf-2:ID.AM-03	skos:relatedMatch	nist-800-53:PM-7	semapv:ManualMappingCuration	
nist-csf-2:ID.AM-04	skos:relatedMatch	nist-800-53:AC-20	semapv:ManualMappingCuration	
nist-csf-2:ID.AM-04	skos:relatedMatch	nist-800-53:SA-9	semapv:ManualMappingCuration	
