Catalog,Control,Relation,Defensive Technique,Technique
NIST SP 800-53 R5,AC-4(19),narrower,[Outbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:OutboundTrafficFiltering),Outbound Traffic Filtering
NIST SP 800-53 R5,AC-4(20),narrower,[Inbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:InboundTrafficFiltering),Inbound Traffic Filtering
NIST SP 800-53 R5,AC-4(20),narrower,[Outbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:OutboundTrafficFiltering),Outbound Traffic Filtering
NIST SP 800-53 R5,AC-4(21),narrower,[Inbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:InboundTrafficFiltering),Inbound Traffic Filtering
NIST SP 800-53 R5,AC-4(21),narrower,[Outbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:OutboundTrafficFiltering),Outbound Traffic Filtering
NIST SP 800-53 R5,AC-4(26),narrower,[File Content Rules](https://d3fend.mitre.org/technique/d3f:FileContentRules),File Content Rules
NIST SP 800-53 R5,AC-4(27),exactly,[Inbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:InboundTrafficFiltering),Inbound Traffic Filtering
NIST SP 800-53 R5,AC-4(27),exactly,[Outbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:OutboundTrafficFiltering),Outbound Traffic Filtering
NIST SP 800-53 R5,AC-4(28),narrower,[Inbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:InboundTrafficFiltering),Inbound Traffic Filtering
NIST SP 800-53 R5,AC-4(28),narrower,[Outbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:OutboundTrafficFiltering),Outbound Traffic Filtering
NIST SP 800-53 R5,AC-4(29),narrower,[Inbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:InboundTrafficFiltering),Inbound Traffic Filtering
NIST SP 800-53 R5,AC-4(29),narrower,[Outbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:OutboundTrafficFiltering),Outbound Traffic Filtering
NIST SP 800-53 R5,AC-4(30),narrower,[Inbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:InboundTrafficFiltering),Inbound Traffic Filtering
NIST SP 800-53 R5,AC-4(30),narrower,[Outbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:OutboundTrafficFiltering),Outbound Traffic Filtering
NIST SP 800-53 R5,AC-4(32),narrower,[Inbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:InboundTrafficFiltering),Inbound Traffic Filtering
NIST SP 800-53 R5,AC-4(32),narrower,[Outbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:OutboundTrafficFiltering),Outbound Traffic Filtering
NIST SP 800-53 R5,AC-5,broader,[Local File Permissions](https://d3fend.mitre.org/technique/d3f:LocalFilePermissions),Local File Permissions
NIST SP 800-53 R5,AC-5,broader,[User Account Permissions](https://d3fend.mitre.org/technique/d3f:UserAccountPermissions),User Account Permissions
NIST SP 800-53 R5,AC-6,broader,[Local File Permissions](https://d3fend.mitre.org/technique/d3f:LocalFilePermissions),Local File Permissions
NIST SP 800-53 R5,AC-6,broader,[User Account Permissions](https://d3fend.mitre.org/technique/d3f:UserAccountPermissions),User Account Permissions
NIST SP 800-53 R5,AC-6(1),exactly,[System Configuration Permissions](https://d3fend.mitre.org/technique/d3f:SystemConfigurationPermissions),System Configuration Permissions
NIST SP 800-53 R5,AC-6(3),exactly,[System Configuration Permissions](https://d3fend.mitre.org/technique/d3f:SystemConfigurationPermissions),System Configuration Permissions
NIST SP 800-53 R5,AC-6(4),narrower,[Hardware-based Process Isolation](https://d3fend.mitre.org/technique/d3f:Hardware-basedProcessIsolation),Hardware-based Process Isolation
NIST SP 800-53 R5,AC-6(5),narrower,[Local File Permissions](https://d3fend.mitre.org/technique/d3f:LocalFilePermissions),Local File Permissions
NIST SP 800-53 R5,AC-6(5),narrower,[System Configuration Permissions](https://d3fend.mitre.org/technique/d3f:SystemConfigurationPermissions),System Configuration Permissions
NIST SP 800-53 R5,AC-6(6),narrower,[Local File Permissions](https://d3fend.mitre.org/technique/d3f:LocalFilePermissions),Local File Permissions
NIST SP 800-53 R5,AC-6(6),narrower,[System Configuration Permissions](https://d3fend.mitre.org/technique/d3f:SystemConfigurationPermissions),System Configuration Permissions
NIST SP 800-53 R5,AC-6(9),broader,[Local Account Monitoring](https://d3fend.mitre.org/technique/d3f:LocalAccountMonitoring),Local Account Monitoring
NIST SP 800-53 R5,AC-6(9),broader,[User Behavior Analysis](https://d3fend.mitre.org/technique/d3f:UserBehaviorAnalysis),User Behavior Analysis
NIST SP 800-53 R5,AC-6(10),narrower,[Local File Permissions](https://d3fend.mitre.org/technique/d3f:LocalFilePermissions),Local File Permissions
NIST SP 800-53 R5,AC-6(10),narrower,[System Configuration Permissions](https://d3fend.mitre.org/technique/d3f:SystemConfigurationPermissions),System Configuration Permissions
NIST SP 800-53 R5,AC-7,exactly,[Account Locking](https://d3fend.mitre.org/technique/d3f:AccountLocking),Account Locking
NIST SP 800-53 R5,AC-7(3),narrower,[Account Locking](https://d3fend.mitre.org/technique/d3f:AccountLocking),Account Locking
NIST SP 800-53 R5,AC-7(4),broader,[Account Locking](https://d3fend.mitre.org/technique/d3f:AccountLocking),Account Locking
NIST SP 800-53 R5,AC-17(8),broader,[Executable Denylisting](https://d3fend.mitre.org/technique/d3f:ExecutableDenylisting),Executable Denylisting
NIST SP 800-53 R5,AC-23,narrower,[Job Function Access Pattern Analysis](https://d3fend.mitre.org/technique/d3f:JobFunctionAccessPatternAnalysis),Job Function Access Pattern Analysis
NIST SP 800-53 R5,AC-23,narrower,[Local Account Monitoring](https://d3fend.mitre.org/technique/d3f:LocalAccountMonitoring),Local Account Monitoring
NIST SP 800-53 R5,AC-23,narrower,[Resource Access Pattern Analysis](https://d3fend.mitre.org/technique/d3f:ResourceAccessPatternAnalysis),Resource Access Pattern Analysis
NIST SP 800-53 R5,AC-23,narrower,[User Data Transfer Analysis](https://d3fend.mitre.org/technique/d3f:UserDataTransferAnalysis),User Data Transfer Analysis
NIST SP 800-53 R5,AC-24(1),narrower,[User Account Permissions](https://d3fend.mitre.org/technique/d3f:UserAccountPermissions),User Account Permissions
NIST SP 800-53 R5,AC-24(2),narrower,[User Account Permissions](https://d3fend.mitre.org/technique/d3f:UserAccountPermissions),User Account Permissions
NIST SP 800-53 R5,AU-2,exactly,[Local Account Monitoring](https://d3fend.mitre.org/technique/d3f:LocalAccountMonitoring),Local Account Monitoring
NIST SP 800-53 R5,AU-2(1),exactly,[Local Account Monitoring](https://d3fend.mitre.org/technique/d3f:LocalAccountMonitoring),Local Account Monitoring
NIST SP 800-53 R5,AU-2(2),exactly,[Local Account Monitoring](https://d3fend.mitre.org/technique/d3f:LocalAccountMonitoring),Local Account Monitoring
NIST SP 800-53 R5,AU-3,exactly,[Local Account Monitoring](https://d3fend.mitre.org/technique/d3f:LocalAccountMonitoring),Local Account Monitoring
NIST SP 800-53 R5,AU-4,narrower,[Local Account Monitoring](https://d3fend.mitre.org/technique/d3f:LocalAccountMonitoring),Local Account Monitoring
NIST SP 800-53 R5,AU-10(5),broader,[Driver Load Integrity Checking](https://d3fend.mitre.org/technique/d3f:DriverLoadIntegrityChecking),Driver Load Integrity Checking
NIST SP 800-53 R5,AU-14(2),narrower,[Local Account Monitoring](https://d3fend.mitre.org/technique/d3f:LocalAccountMonitoring),Local Account Monitoring
NIST SP 800-53 R5,AU-15,narrower,[Local Account Monitoring](https://d3fend.mitre.org/technique/d3f:LocalAccountMonitoring),Local Account Monitoring
NIST SP 800-53 R5,CM-5,narrower,[Executable Allowlisting](https://d3fend.mitre.org/technique/d3f:ExecutableAllowlisting),Executable Allowlisting
NIST SP 800-53 R5,CM-5,narrower,[Executable Denylisting](https://d3fend.mitre.org/technique/d3f:ExecutableDenylisting),Executable Denylisting
NIST SP 800-53 R5,CM-5,narrower,[Local Account Monitoring](https://d3fend.mitre.org/technique/d3f:LocalAccountMonitoring),Local Account Monitoring
NIST SP 800-53 R5,CM-5(1),narrower,[Local Account Monitoring](https://d3fend.mitre.org/technique/d3f:LocalAccountMonitoring),Local Account Monitoring
NIST SP 800-53 R5,CM-5(3),narrower,[Local Account Monitoring](https://d3fend.mitre.org/technique/d3f:LocalAccountMonitoring),Local Account Monitoring
NIST SP 800-53 R5,CM-5(3),narrower,[System Configuration Permissions](https://d3fend.mitre.org/technique/d3f:SystemConfigurationPermissions),System Configuration Permissions
